id,full_name,owner,repo_name,html_url,created_at,updated_at,pushed_at,size,language,forks_count,stargazers_count,watchers_count,has_issues,archived,disabled,fork,num_contributors,sbom_flag,exclusion_reason,num_commits,num_buggy_commits,lifetime_days,num_languages,num_stars,main_language,num_files,num_methods,num_buggy_files,num_buggy_methods,num_bugs
232,apache#dubbo-go-samples,apache,dubbo-go-samples,https://github.com/apache/dubbo-go-samples,2020-10-13T01:15:44Z,2025-06-02T03:46:45Z,2025-06-02T03:46:42Z,70768,Go,204,255,255,True,False,False,False,85,True,,1142,478,1692,4,255,Go,747,1191,3283,642,0
233,apache#flink-connector-elasticsearch,apache,flink-connector-elasticsearch,https://github.com/apache/flink-connector-elasticsearch,2022-03-28T09:56:42Z,2025-05-13T02:11:16Z,2025-04-17T07:40:53Z,7396,Java,94,82,82,False,False,False,False,87,True,,371,284,3100,1,82,Java,106,1085,451,1085,0
234,apache#yetus,apache,yetus,https://github.com/apache/yetus,2015-09-18T07:00:05Z,2025-03-04T15:20:57Z,2025-05-08T19:21:49Z,4395,Shell,60,69,69,False,False,False,False,77,True,,1456,1421,5768,6,69,JavaScript,32,334,701,334,1237
235,apache#commons-digester,apache,commons-digester,https://github.com/apache/commons-digester,2013-07-12T07:00:18Z,2025-05-27T22:55:06Z,2025-05-27T22:55:03Z,20527,Java,44,55,55,False,False,False,False,19,True,,2898,313,8800,1,55,Java,316,2365,189,900,198
236,apache#hive,apache,hive,https://github.com/apache/hive,2009-05-21T02:31:01Z,2025-06-02T13:36:53Z,2025-06-02T01:31:11Z,2226230,Java,4749,5712,5712,False,False,False,False,256,True,,17691,17205,6119,10,5712,Java,9832,195486,36198,194359,28868
237,apache#airavata,apache,airavata,https://github.com/apache/airavata,2014-01-29T08:00:06Z,2025-05-22T15:05:54Z,2025-05-23T00:32:31Z,1313934,Java,132,120,120,False,False,False,False,52,True,,10690,2357,5080,8,120,Java,2117,116046,9373,85366,3713
238,apache#pdfbox,apache,pdfbox,https://github.com/apache/pdfbox,2009-09-26T08:00:19Z,2025-05-31T14:41:58Z,2025-06-01T11:50:48Z,164235,Java,902,2836,2836,False,False,False,False,6,True,,12374,12021,6324,1,2836,Java,1280,18059,6131,18038,6006
239,apache#buildstream,apache,buildstream,https://github.com/apache/buildstream,2021-02-02T09:34:19Z,2025-05-29T15:02:45Z,2025-06-02T12:41:17Z,47332,Python,32,93,93,True,False,False,False,64,True,,8201,1304,3131,3,93,Python,450,3743,1427,2686,0
240,apache#cxf,apache,cxf,https://github.com/apache/cxf,2014-02-19T08:00:08Z,2025-06-02T13:23:01Z,2025-06-02T13:23:04Z,707543,Java,1443,885,885,False,False,False,False,234,True,,18786,8598,6252,5,885,Java,7687,64853,14181,55341,256
241,apache#camel-kafka-connector,apache,camel-kafka-connector,https://github.com/apache/camel-kafka-connector,2019-12-04T08:39:07Z,2025-04-24T18:50:54Z,2025-06-02T02:48:48Z,40882,Java,106,160,160,True,False,False,False,35,True,,2362,421,2317,4,160,Java,895,7139,5503,3052,0
242,apache#pekko-connectors,apache,pekko-connectors,https://github.com/apache/pekko-connectors,2022-10-31T08:52:35Z,2025-06-01T08:26:03Z,2025-06-01T08:26:03Z,106244,Scala,37,66,66,True,False,False,False,306,True,,3473,2255,3308,2,66,Scala,1155,3496,3158,3403,0
243,apache#guacamole-client,apache,guacamole-client,https://github.com/apache/guacamole-client,2016-03-22T07:00:06Z,2025-06-02T06:26:38Z,2025-05-29T23:34:36Z,59429,Java,752,1514,1514,False,False,False,False,91,True,,7080,5480,5457,4,1514,Java,1160,9953,5607,9196,2073
244,apache#couchdb-fauxton,apache,couchdb-fauxton,https://github.com/apache/couchdb-fauxton,2014-01-17T08:00:08Z,2025-05-26T15:35:46Z,2025-05-01T03:05:50Z,46695,JavaScript,229,397,397,True,False,False,False,69,True,,2060,783,4564,1,397,JavaScript,570,8950,1732,6809,0
245,apache#solr-operator,apache,solr-operator,https://github.com/apache/solr-operator,2019-06-14T18:25:16Z,2025-05-25T13:38:05Z,2025-04-22T07:31:31Z,22925,Go,121,265,265,True,False,False,False,38,True,,394,317,2169,2,265,Go,66,887,361,883,0
